商品名,规格,物料号,天猫是否上架,天猫平台ID
无阻力桶丝管(滚轮式）,滚轮管送丝机端接头（TPS）,SS-1202.102-N,否,
桶丝盖及配件,350KG 桶丝盖,LOP020047,否,
桶丝盖及配件,250 KG 桶丝盖,LOP020047-1,否,
桶丝盖及配件,防缠绕旋转导管（桶丝）,SS-1202.202,否,
桶丝盖及配件,桶丝桶快卡件,44.0350.2132,否,
地线,地线 4m/50mm2（带地线夹）,43.0004.0161,否,
地线,地线 4m/ 70mm2（带地线夹）,43.0004.0163,否,
地线,地线  4m/95mm2（带耳鼻）,43.0004.2130-4m,否,
地线,地线 10m/ 95mm2（带耳鼻）,43.0004.2130,否,
地线,地线 15m/95mm2（带耳鼻）,43.0004.2131,否,
地线,地线 20m/95mm2（带耳鼻）,43.0004.2132,否,
地线接头,地线插头(公) 16 - 25 sqmm 200A / 60% (small) ,43.0003.0065,否,
地线接头,地线插头(公) 35 - 50 sqmm 300A / 60% ,43.0003.0066,否,
地线接头,地线插头(公) 50 - 70 sqmm 400A / 60% ,43.0003.0019,否,
地线接头,地线插头(公) 70 - 95 sqmm 500A / 60% ,43.0003.0301,否,
地线接头,地线插头(母) 16 - 25 sqmm 200A / 60% (small) ,43.0003.0062,否,
地线接头,地线插头(母) 35 - 50 sqmm 300A / 60% ,43.0003.0063,否,
地线接头,地线插头(母) 50 - 70 sqmm 400A / 60% ,43.0003.0064,否,
地线接头,地线插头(母) 70 - 95 sqmm 500A / 60% ,43.0003.0385,否,
一分二地线接头,一分二地线接头（公）70-95sqmm ,43.0003.0229,否,
一分二地线接头,一分二地线接头（母） 70-95sqmm ,43.0003.0704,否,
地线夹,地线夹500A at 60%ED 50sqmm,43.0004.0137,否,
地线夹,地线夹600A at 60%ED 70sqmm,43.0004.0138,否,
地线夹,C型地线夹1000A at 60%ED 70-95sqmm ,43.0004.0139,否,
地线夹,磁性地线夹 600 A - 35-95 sqmm ,43.0004.0141,否,
地线夹,冷压端子50mm?,02*41.0009.0013,否,
地线夹,冷压端子70mm?,02*41.0009.0016,否,
地线夹,冷压端子95mm2,02*41.0009.0018,否,
地线实芯电缆,实芯电缆 16sqmm ,40.0003.0029,否,
地线实芯电缆,实芯电缆 25sqmm ,40.0003.0004,否,
地线实芯电缆,实芯电缆 35sqmm ,40.0003.0003,否,
地线实芯电缆,实芯电缆 50sqmm ,40.0003.0014,否,
地线实芯电缆,实芯电缆 70sqmm ,40.0003.0021,否,
地线实芯电缆,实芯电缆 95sqmm ,40.0003.0015,否,
气体流量调节表,气瓶用双表盘氩气表,02*42.0510.0011-D,否,
气体流量调节表,气瓶用浮珠式氩气表,GENT0005,否,
气体流量调节表,气瓶用CO2加热气表（220V）,GENT0011,否,
气体流量调节表,气瓶用双流量氩气表,GENT0022,否,
气体减压调节表,瓶装气体减压调节表,GENT0002,否,
二元气体配比器,二元气体配比器AR-CO2 BM-2M ,43.0009.0038,否,
气流量检测工具,气流量检测工具 25 l/min ,43.0009.0007,否,
气流量检测工具,气流量检测工具(双丝枪)RA Twin ,43.0009.0044,否,
气体拖罩,拖罩TTW4500  L=50mm,44.0350.2536,否,
气体拖罩,拖罩 TTW4500 L=100mm,44.0350.2781,否,
气体拖罩,大拖罩（直）,44.0350.2821,否,
气体拖罩,外弧形拖罩,42.0411.3206,否,
气体拖罩,内弧形拖罩,58.0894.0300,否,
气管接头,气接头(设备端）,44.0450.0281,否,
气管接头,气接头(M16*1.5气表端）,LOP01086-set,否,
水管接头,水管接头G3/8''(送丝机端）,02_42.0001.0942 set,否,
水管接头,水管座G3/8'' (送丝机）,42.0001.6262,否,
水管接头,水管快速接头（公）,42.0001.1506,否,
水管接头,水管快速接头（母）,44.0001.0474,否,
水管接头,水管快速插座G1/8'' （水箱）,44.0001.1145,否,
水管接头,水管座G1/8'' (水箱）,42.0001.3997,否,
PVC气(水)管,PVC气管5X3 （黑色）,40.0001.0012,否,
Teflon气管,Teflon气管8x5,02*40.0001.0355,否,
Teflon气管,Teflon气管(带保护层)8x6,02*40.0001.0355-P,否,
Teflon气管,Teflon气管6x4,02*40.0001.0433,否,
管箍,管箍13.3mm,02*42.0407.0063,否,
管箍,管箍10.5mm,02*42.0407.0063-105,否,
管箍,管箍11.9mm,02*42.0407.0063-119,否,
管箍,管箍12.8mm,02*42.0407.0063-128,否,
管箍,管箍7.0mm,02*42.0407.0245,否,
管箍,管箍 8.7mm,02*42.0407.0272,否,
管箍,管箍9.5mm,02*42.0407.0284,否,
管箍,管箍9.0mm,02*42.0407.0284-90,否,
管箍,管箍53.0mm,02*42.0407.0482,否,
管箍,管箍15.7mm,LOP010008-01,否,
管箍,管箍17.5mm,LOP010008-02,否,
管箍,管箍19.8mm,LOP010008-04,否,
管箍,管箍16.6,02*42.0407.0442,否,
密封圈,密封圈?7.0x2.0,02*42.0300.2595,否,
密封圈,密封圈7x2.0 NBR70,02*42.0402.0053,否,
密封圈,密封圈φ7.0*1.5,02*42.0402.0081,否,
密封圈,密封圈φ5.0*1.5,02*42.0402.0093,否,
密封圈,密封圈φ4.0*1.0,02*42.0402.0094,否,
密封圈,密封圈8x2,02*42.0402.0156,否,
密封圈,密封圈16x2,02*42.0402.0157,否,
密封圈,密封圈φ6.0*1.5,02*42.0402.0170,否,
密封圈,密封圈φ15.0*1.0,02*48.0005.0676,否,
6.8.1电源航空插头,五芯插头 16A,02*43.0003.0051,否,
6.8.1电源航空插头,五芯插座  16A (柜),02*43.0003.0051-S,否,
6.8.1电源航空插头,五芯插座  16A （墙挂）,02*43.0003.0051-Q,否,
6.8.1电源航空插头,五芯插头 32A,02*43.0003.0052,否,
6.8.1电源航空插头,五芯插座  32A(柜),02*43.0003.0052-S,否,
6.8.1电源航空插头,五芯插座  32A（墙挂）,02*43.0003.0052-Q,否,
6.8.1电源航空插头,五芯插头 63A,02*43.0003.0055,否,
6.8.1电源航空插头,五芯插座  63A(柜),02*43.0003.0055-S,否,
6.8.1电源航空插头,五芯插座  63A（墙挂）,02*43.0003.0055-Q,否,
6.8.2送丝机焊枪接口,送丝机焊枪接口F++,44.0001.1277-set,否,
6.8.2送丝机焊枪接口,送丝机焊枪接口F++(PAP),44.0350.2339-set,否,
6.8.2送丝机焊枪接口,送丝机焊枪接口E 欧式,44.0001.1197-set,否,
6.8.3航控插头,4芯航空插头,需重新编号,否,
6.8.3航控插头,4芯航空插座,需重新编号,否,
6.8.3航控插头,4芯航空插座（公.设备端）,需重新编号,否,
6.8.3航控插头,4芯航空插座（母.设备端）,需重新编号,否,
6.8.3航控插头,6芯航空插头,需重新编号,否,
6.8.3航控插头,6芯航空插座,需重新编号,否,
6.8.3航控插头,6芯航空插座（公.设备端）,需重新编号,否,
6.8.3航控插头,6芯航空插座（母.设备端）,需重新编号,否,
6.8.3航控插头,10芯航空插头,需重新编号,否,
6.8.3航控插头,10芯航空插座,需重新编号,否,
6.8.3航控插头,10芯航空插座（公.设备端）,需重新编号,否,
6.8.3航控插头,10芯航空插座（母.设备端）,需重新编号,否,
6.8.3航控插头,14芯航空插头,需重新编号,否,
6.8.3航控插头,14芯航空插座,需重新编号,否,
6.8.3航控插头,14芯航空插座（公.设备端）,需重新编号,否,
6.8.3航控插头,14芯航空插座（母.设备端）,需重新编号,否,
6.8.3航控插头,17芯航空插头,需重新编号,否,
6.8.3航控插头,17芯航空插座,需重新编号,否,
6.8.3航控插头,17芯航空插座（公.设备端）,需重新编号,否,
6.8.3航控插头,17芯航空插座（母.设备端）,需重新编号,否,
6.8.4控制线缆,十芯屏蔽控制线（高柔）,02*40.0003.0078-GR,否,
6.8.4控制线缆,十芯屏蔽控制线,02*40.0003.0078,否,
6.8.4控制线缆,1芯白色屏蔽控制线（200M/卷）,02*40.0003.0078-1Pin,否,
6.8.4控制线缆,二芯屏蔽控制线,02*40.0003.0078-2pin,否,
6.8.4控制线缆,三芯屏蔽控制线,02*40.0003.0078-3Pin,否,
6.8.4控制线缆,六芯屏蔽控制线,02*40.0003.0078-6pin,否,
6.8.4控制线缆,十六芯屏蔽控制线,02*40.0003.0284,否,
6.8.5护套,波纹管 NW29.5  SW ,02*40.0001.0417-L,否,
6.8.5护套,波纹管 NW22.4 black ,02*40.0001.0470,否,
6.8.5护套,波纹管 PA 36x3.15mm Hose 25m black,02*40.0001.0504,否,
6.8.5护套,波纹管  NW29 bk PA hose 50m,02*40.0001.0541,否,
6.8.5护套,编织护套,40.0001.0387,否,
6.8.5护套,编织护套,02*40.0001.0095,是,744508284542
6.8.6波纹管固定夹,波纹管固定支架23,需重新编号,否,
6.8.6波纹管固定夹,波纹管固定支架29,需重新编号,否,
6.8.6波纹管固定夹,波纹管固定支架36,需重新编号,否,
6.8.6波纹管固定夹,波纹管固定支架48,需重新编号,否,
电缆吊钩,电缆吊钩(橡胶）,42.0405.0468,否,
电缆吊钩,电缆吊钩(塑料）,44.0450.1246,否,
电缆吊钩,弹簧平衡吊SB3000  (1.5-3.0kg),SCAM030182,否,
电缆吊钩,弹簧平衡吊5-9KG.,LOP020104,否,
TCP校准,TCP校准尖  RA280,42.0001.2946,否,
TCP校准,TCP校准尖  RA5000,42.0001.2920,否,
枪头专用工具,枪头板手（TWIN Compact）,42.0201.1693,否,
枪头专用工具,枪头板手（RA ）,45.0200.1261,否,
枪头专用工具,导电咀拆卸工具 M6/M8/TIME ,42.0410.0570,否,
枪头专用工具,导电咀拆卸工具M10 ,42.0410.0138,否,
枪头专用工具,导电咀座拆卸工具,44.0350.2434,否,
钨针高度调节具,钨针高度调节工具（plasma）,44.0350.2522,否,
钨针高度调节具,钨针高度调节工具（TIG）,44.0350.2448,否,
焊丝盘芯,焊丝盘芯,44.0550.0060,否,
常用工具,进口斜口钳89-586-23,TS0015,否,
常用工具,尖扁锉刀89-586-24,TS0026,否,
常用工具,开口扳手89-586-25,TS0028,否,
常用工具,开口扳手M13/M15,TS0029,否,
常用工具,开口扳手M17/M19,TS0032,否,
常用工具,组合螺丝刀捷科S102,TS0040,否,
常用工具,螺丝刀T8,T01001,否,
常用工具,螺丝刀T9,T01002,否,
常用工具,螺丝刀T10,T01003,否,
常用工具,螺丝刀T15,T01004,否,
常用工具,螺丝刀T25,T01005,否,
常用工具,卡箍钳,T01007,否,
常用工具,扭力扳手扭力范围5-50Nm,TS0041,否,
常用工具,焊角高度测量工具,44.0450.0047,否,
常用工具,进口大力钳,CT10001,否,
变光面罩,100V 自动变光焊接面罩100V,3M-XH003807829,否,
变光面罩,自动变光焊接面罩AKETEK NOVA,Aketek-001,否,
变光面罩,自动变光焊接铝帽E684,FNS0064?,否,
焊接手套,牛皮手套C10-2000-L,LOP040022,否,
防飞溅剂,水基防飞溅剂,TBI0013,否,
防飞溅剂,焊接防飞溅剂 喷雾瓶装（A型 焊钛用 ）500ML/ 支,LOP040058,否,
防飞溅剂,防飞溅膏,BINZ192.0058,否,
手工焊台,FWT 1500x750mm手工焊台,02*8.045.621,否,
TPSI主电源,TPS 320i /nc no Welding Package included,4.075.230.800,是,740137203849
TPSI主电源,TPS 400i /nc no Welding Package included,4.075.231.800,是,740137203849
TPSI主电源,TPS 400i LSC Advanced nc,4.075.175.800,否,
TPSI主电源,TPS 500i /nc no Welding Package included,4.075.232.800,是,740137203849
TPSI主电源,TPS 600i /nc no Welding Package included,4.075.233.800,是,740137203849
TPSI工艺程序,Welding Package Standard    直流工艺程序包,4.066.012,是,787252986455
TPSI工艺程序,Welding Package Pulse       脉冲工艺程序包,4.066.013,是,787252986455
TPSI工艺程序,Welding Package LSC         低飞溅工艺程序包,4.066.014,是,787252986455
TPSI工艺程序,Welding Package PMC         高性能脉冲工艺程序包,4.066.015,是,787252986455
TPSI工艺程序,Welding Package CMT         CMT工艺程序包,4.066.016,是,787252986455
TPSI工艺程序,DB/i Steel Edition          碳钢版本程序,4.069.050,是,787252986455
TPSI工艺程序,DB/i CRRC Edition           中车特别版程序,4.069.004 ,是,787252986455
TPSI工艺程序,OPT/i CMT Cycle Step        CMT断续焊工艺,4.067.012,是,787252986455
TPSI工艺程序,OPT/i WireSense             焊丝传感,4.067.020,是,787252986455
TPSI电源线,Mains cable 4G4mm? 5m E5 32A H07RN-F  电源线,02*43.0004.0987,否,
TPSI电源线,Mains cable 4G4mm? 10m E5 32A H07RN-F  电源线,02*43.0004.0987-10m,否,
TPSI电源线,Mains cable 4G4mm? 15m E5 32A H07RN-F  电源线,02*43.0004.0987-15m,否,
TPSI电源线,Mains cable 4G4mm? 20m E5 32A H07RN-F  电源线,02*43.0004.0987-20m,否,
TPSI电源线,Mains cable 4G4mm? 25m E5 32A H07RN-F  电源线,02*43.0004.0987-25m,否,
TPSI送丝轮,Feeder roll U 0.6,44.0001.1428,是,798968926206
TPSI送丝轮,Feeder roll U 0.8,44.0001.1405,是,798968926206
TPSI送丝轮,Feeder roll U 0.9-1.0,44.0001.1406,是,798968926206
TPSI送丝轮,Feeder roll U 1.2  ,44.0001.1407,是,798968926206
TPSI送丝轮,Feeder roll U 1.4-1.6,44.0001.1408,是,798968926206
TPSI送丝轮,Feeder roll U 2.0,44.0001.1502,是,798968926206
TPSI送丝轮,Feeder roll U 2.4,44.0001.1503,是,798968926206
TPSI送丝轮,Feeder roll U 2.8,44.0001.1504,是,798968926206
TPSI送丝轮,Feeder roll 1.2 R,44.0001.1431,是,798968926206
TPSI送丝轮,Feeder roll 1.4 R,44.0001.1432,是,798968926206
TPSI送丝轮,Feeder roll 1.6 R,44.0001.1433,是,798968926206
TPSI送丝轮,Feeder roll 2.0 R,44.0001.1423,是,798968926206
TPSI送丝轮,Feeder roll 2.4 R,44.0001.1424,是,798968926206
TPSI送丝轮,Feeder roll R 2.8,44.0001.1425,是,798968926206
TPSI送丝轮,Feeder roll R 3.2,44.0001.1426,是,798968926206
TPSI送丝机,WF 25i /4R/G/FSC ,4.049.031,否,
TPSI送丝机,WF 30i /4R/W/FSC ,4.049.032,否,
TPSI送丝机,WF 15i R /4R/W/FSC ,4.049.033,否,
TPSI送丝机,WF 25i R /4R/G/W/FSC ,4.049.035,否,
TPSI送丝机,WF 25i R /PAP/4R/G/W/FSC ,4.049.036,否,
TPSI送丝机前面板,OPT/i WF operate panel standard /CK,4.101.005.CK,否,
TPSI送丝机前面板,OPT/i WF control panel POT /CK,4.100.872.CK,否,
TPSI送丝机附件,OPT/i WF display cover /CK,4.100.773.CK,否,
TPSI送丝机附件,OPT/i SB gas test & wire threading,02*4.100.775.CK,否,
TPSI送丝机附件,C-kit water cooling,02*4.100.605.U,否,
TPSI送丝机附件,OPT/i WF PushPull /CK ,4.100.829.CK,否,
TPSI送丝机附件,OPT/i TPS 320i C PushPull /CK ,4.100.803.CK,否,
TPSI送丝机附件,Human 5000,02*4.077.007,否,
TPSI送丝机附件,I-Kit Human DP PM-CMT 4m,02*4.100.528,否,
水箱,CU 1100i  水箱,4.048.016,否,
水箱,CU 1400i Pro/MC,4.048.017.633,否,
水箱,CU 2000i Pro/MC,4.048.009.633,否,
水箱配件,OPT/i TPS 2nd NT241 CU 1400i /IK  NT241板,4.100.808.IK,否,
水箱配件,OPT/i TPS 2nd NT241 CU 1400i /CK,4.100.808.CK,否,
水箱配件,I-kit water connection in the front FK 5000 (necessary for C-version),02*4.100.718,否,
水箱配件,OPT/i CU levelsensor /IK  水位感应,4.100.778.IK,否,
水箱配件,OPT/i CU levelsensor /CK  水位感应,4.100.778.CK,否,
水箱配件,OPT/i CU Flow-Thermo-Sensor / IK  水流-热敏传感器,4.100.777.IK,否,
水箱配件,OPT/i CU Flow-Thermo-Sensor /CK  水流-热敏传感器,4.100.777.CK,否,
水箱配件,OPT/i CU 2000 /CK ,4.100.988.CK,否,
水箱配件,I-kit cooling filter FK 5000 过滤器,4.100.612,否,
水箱配件,C-Set cooling filter FK 5000  过滤器,4.100.612.U,否,
水箱配件,Cooling liquid FCL10 5L (up to -10° outside temperature)  冷却液,40.0009.0180,否,
水箱配件,Cooling liquid FCL10 30L (up to -10° outside temperature)  冷却液,40.0009.0181,否,
水箱配件,Cooling liquid FCL20 5L (up to -20° outside temperature)  冷却液,40.0009.0182,否,
水箱配件,Cooling liquid FCL20 30L (up to -20° outside temperature)  冷却液,40.0009.0183,否,
TPSI中继线,HP 70i CON W/1.2m（标配）,02*4.047.845,是,779591297062
TPSI中继线,HP 70i CON /W/5m,02*4.047.847,是,779591297062
TPSI中继线,HP 70i CON W/10m,02*4.047.849,是,779591297062
TPSI中继线,HP 95i CON W/10m,02*4.047.850,是,779591297062
TPSI中继线,HP 70i CON W/15m,02*4.047.851,是,779591297062
TPSI中继线,HP 95i CON /W/15m,02*4.047.852,是,779591297062
TPSI中继线,HP 70i CON W/20m,02*4.047.853,是,779591297062
TPSI中继线,HP 95i CON W/20m,02*4.047.854,是,779591297062
焊机小车,Carriage PickUp  小车,02*4.077.002,是,739771428920
焊机小车,OPT/TU turning pintle mounting WF15i-30i / VR5000 小车横梁,02*4.100.613,是,803079972348
焊机小车,Carriage Trabant WF25i/WF30i送丝机小车,02*4.077.004,否,
气冷焊枪,MTG 250i /FSC/3.5m/45 ,4.035.921,是,794696983139
气冷焊枪,MTG 250i /FSC/4.5m/45 ,4.035.924,是,794696983139
气冷焊枪,MTG 250i /FSC/UD/3.5m/45 /LED ,4.035.922,是,794696983139
气冷焊枪,MTG 250i /FSC/UD/4.5m/45 /LED ,4.035.925,是,794696983139
气冷焊枪,MTG 250i /FSC/JM/3.5m/45 /LED ,4.035.923,是,794696983139
气冷焊枪,MTG 250i /FSC/JM/4.5m/45 /LED ,4.035.926,是,794696983139
气冷焊枪,MTG 320i /FSC/3.5m/45 ,4.035.927,是,794869809248
气冷焊枪,MTG 320i /FSC/4.5m/45 ,4.035.930,是,794869809248
气冷焊枪,MTG 320i /FSC/UD/3.5m/45 /LED ,4.035.928,是,794869809248
气冷焊枪,MTG 320i /FSC/UD/4.5m/45 /LED ,4.035.931,是,794869809248
气冷焊枪,MTG 320i /FSC/JM/3.5m/45 /LED ,4.035.929,是,794869809248
气冷焊枪,MTG 320i /FSC/JM/4.5m/45 /LED ,4.035.932,是,794869809248
气冷焊枪,MTG 400i /FSC/3.5m/45 /LED ,4.035.933,是,794893349916
气冷焊枪,MTG 400i /FSC/4.5m/45 /LED ,4.035.936,是,794893349916
气冷焊枪,MTG 400i /FSC/UD/3.5m/45 /LED ,4.035.934,是,794893349916
气冷焊枪,MTG 400i /FSC/UD/4.5m/45 /LED ,4.035.937,是,794893349916
气冷焊枪,MTG 400i /FSC/JM/3.5m/45 /LED ,4.035.935,是,794893349916
气冷焊枪,MTG 400i /FSC/JM/4.5m/45 /LED ,4.035.938,是,794893349916
气冷焊枪,MTG 550i /FSC/3.5m/60 ,4.035.939,是,794726531359
气冷焊枪,MTG 550i /FSC/UD/3.5m/60 /LED ,4.035.940,是,794726531359
气冷焊枪,MTG 550i /FSC/4.5m/60 ,4.035.942,是,794726531359
气冷焊枪,MTG 550i /FSC/UD/4.5m/60 /LED ,4.035.943,是,794726531359
水冷焊枪,MTW 400i /FSC/3.5m/45 /LED,4.035.951,是,784371757773
水冷焊枪,MTW 400i /FSC/4.5m/45 /LED ,4.035.954,是,784371757773
水冷焊枪,MTW 400i /FSC/UD/3.5m/45 /LED ,4.035.952,是,784371757773
水冷焊枪,MTW 400i /FSC/UD/4.5m/45 /LED ,4.035.955,是,784371757773
水冷焊枪,MTW 400i /FSC/JM/3.5m/45 /LED ,4.035.953,是,784371757773
水冷焊枪,MTW 400i /FSC/JM/4.5m/45 /LED ,4.035.956,是,784371757773
水冷焊枪,MTW 500i /FSC/3.5m/45 /LED ,4.035.957,是,784738526923
水冷焊枪,MTW 500i /FSC/4.5m/45 /LED ,4.035.960,是,784738526923
水冷焊枪,MTW 500i /FSC/UD/3.5m/45 /LED ,4.035.958,是,784738526923
水冷焊枪,MTW 500i /FSC/UD/4.5m/45 /LED ,4.035.961,是,784738526923
水冷焊枪,MTW 500i /FSC/JM/3.5m/45 /LED,4.035.959,是,784738526923
水冷焊枪,MTW 500i /FSC/JM/4.5m/45 /LED ,4.035.962,是,784738526923
水冷焊枪,MTW 700i /FSC/3.5m/45 /LED ,4.035.963,是,784797160762
水冷焊枪,MTW 700i /FSC/4.5m/45 /LED ,4.035.966,是,784797160762
水冷焊枪,MTW 700i /FSC/UD/3.5m/45 /LED ,4.035.964,是,784797160762
水冷焊枪,MTW 700i /FSC/UD/4.5m/45 /LED ,4.035.967,是,784797160762
水冷焊枪,MTW 700i /FSC/JM/3.5m/45 /LED ,4.035.965,是,784797160762
水冷焊枪,MTW 700i /FSC/JM/4.5m/45 /LED ,4.035.968,是,784797160762
碳钢送丝组件,BK Fe D0.8 /G/W/5m ,44.0350.5117,否,
碳钢送丝组件,BK Fe D0.9 /G/W/5m ,44.0350.5118,否,
碳钢送丝组件,BK Fe 1.0 /G/W/5m,02*44.0350.5119,否,
碳钢送丝组件,BK Fe ?1.2 G/W/5m MTG/MTW Fe,02*44.0350.5120,否,
碳钢送丝组件,BK Fe D1.4 /G/W/5m ,44.0350.5121,否,
碳钢送丝组件,BK Fe D1.6 /G/W/5m ,44.0350.5122,否,
不锈钢送丝组件,BK CrNi D0.8 /G/W/5m ,44.0350.5158,否,
不锈钢送丝组件,BK CrNi D0.9 /G/W/5m ,44.0350.5159,否,
不锈钢送丝组件,BK CrNi 1.0 /G/W/5m,02*44.0350.5160,否,
不锈钢送丝组件,BK CrNi D1.2 /G/W/5m ,44.0350.5161,否,
不锈钢送丝组件,BK CrNi D1.4 /G/W/5m ,44.0350.5162,否,
不锈钢送丝组件,BK CrNi D1.6 /G/W/5m ,44.0350.5163,否,
气冷焊铝 & CUSI4钎焊,BK Al D0.8 /G CuSi D0.8 G/W/5m ,44.0350.5144,否,
气冷焊铝 & CUSI5钎焊,BK Al D0.9 /G CuSi D0.9 G/W/5m ,44.0350.5145,否,
气冷焊铝 & CUSI6钎焊,BK Al D1.0 /G CuSi D1.0 G/W/5m ,44.0350.5146,否,
气冷焊铝 & CUSI7钎焊,BK Al ?1.2 /G CuSi ?1.2 G/W/5m,02*44.0350.5147,否,
气冷焊铝 & CUSI8钎焊,BK Al D1.4 /G CuSi D1.4 G/W/5m ,44.0350.5148,否,
气冷焊铝 & CUSI9钎焊,BK Al D1.6 /G CuSi D1.6 G/W/5m ,44.0350.5149,否,
水冷焊铝送丝组件,BK Al D0.8 /W/5m ,44.0350.5135,否,
水冷焊铝送丝组件,BK Al D0.9 /W/5m ,44.0350.5136,否,
水冷焊铝送丝组件,BK Al ?1.0 /W/5m,02*44.0350.5137,否,
水冷焊铝送丝组件,BK Al ?1.2 W/5m MTW,02*44.0350.5138,否,
水冷焊铝送丝组件,BK Al D1.4 /W/5m ,44.0350.5139,否,
水冷焊铝送丝组件,BK Al D1.6 /W/5m ,02*44.0350.5140,否,
水冷焊铝送丝组件,BK Al D2.0 /W/5m ,44.0350.5141,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/15 /L183/H22 ,44.0350.3147,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/30 /L174/H47 ,44.0350.3148,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 250i G ML/45 /L158/H73 ,44.0350.3149,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/15 /L190/H22 ,44.0350.3151,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/30 /L181/H48 ,44.0350.3152,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 320i G ML/45 /L165/H75 ,44.0350.3153,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/15 /L227/H27 ,44.0350.3155,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/30 /L216/H57 ,44.0350.3156,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 400i G ML/45 /L197/H88 ,44.0350.3157,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 200i G ML/L268/flex ,44.0350.3786,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 360i G ML/309/flex ,44.0350.3785,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 3600S G ML/55 /L190/SSFCW ,44.0350.3820,否,
MULTILOCK 可拆换枪颈型号MTB 气冷 ,MTB 3600S G ML/55 L278/SSFCW ,44.0350.3821,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /15 /L175/H22 ,44.0350.3163,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /30 /L166/H47 ,44.0350.3164,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 250i W ML /45 /L151/H72 ,44.0350.3165,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/15 /L194/H23 ,44.0350.3167,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/30 /L185/H49 ,44.0350.3168,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/45 /L168/H77 ,44.0350.3169,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/15 /L209/H27 ,44.0350.3171,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/30 /L199/H56 ,44.0350.3172,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 500i W ML/45 /L180/H87 ,44.0350.3173,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/15 /L220/H26 ,44.0350.3175,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/30 /L209/H55 ,44.0350.3176,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 700i W ML/45 /L191/H85 ,44.0350.3177,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 330i W ML/L272/flex ,44.0350.3799,否,
MULTILOCK 可拆换枪颈型号MTB 水冷 ,MTB 400i W ML/L291/flex ,44.0350.3800,否,
气冷枪配件盒,Wear part kit MTG250i D0.8 ,44.0350.5151,否,
气冷枪配件盒,Wear part kit MTG250i D0.9 ,44.0350.5152,否,
气冷枪配件盒,Wear part kit MTG250i D1.0 ,44.0350.5153,否,
气冷枪配件盒,Wear part kit MTG250i D1.2 ,44.0350.5154,否,
气冷枪配件盒,Wear part kit MTG250i D1.4 ,44.0350.5155,否,
气冷枪配件盒,Wear part kit MTG250i D1.6 ,44.0350.5156,否,
气冷枪配件盒,Wear part kit MTG320i D0.8 ,44.0350.5185,否,
气冷枪配件盒,Wear part kit MTG320i D0.9 ,44.0350.5186,否,
气冷枪配件盒,Wear part kit MTG320i D1.0 ,44.0350.5187,否,
气冷枪配件盒,Wear part kit MTG 320i ?1.2,02*44.0350.5188,否,
气冷枪配件盒,Wear part kit MTG320i D1.4 ,44.0350.5189,否,
气冷枪配件盒,Wear part kit MTG320i D1.6 ,44.0350.5190,否,
气冷枪配件盒,Wear part kit MTG400i D0.8 ,44.0350.5167,否,
气冷枪配件盒,Wear part kit MTG400i D0.9 ,44.0350.5168,否,
气冷枪配件盒,Wear part kit MTG400i ?1.0,02*44.0350.5169,否,
气冷枪配件盒,Wear part kit MTG400i ?1.2,02*44.0350.5170,否,
气冷枪配件盒,Wear part kit MTG400i D1.4 ,44.0350.5171,否,
气冷枪配件盒,Wear part kit MTG400i ?1.6,02*44.0350.5172,否,
水冷枪配件盒,Wear part kit MTW250i D0.8 ,44.0350.5191,否,
水冷枪配件盒,Wear part kit MTW250i D0.9 ,44.0350.5192,否,
水冷枪配件盒,Wear part kit MTW250i D1.0 ,44.0350.5193,否,
